 	Text	Types	Tokens	Frequencies	TTR	h-Point	Entropy	Average Tokens Length	R1	Λ (Lambda)	
b_1.0	b_1.0	205	289	[...]	0,709343	5,5	7,392832	5,792388	0,924308	1,784861	
b_2.0	b_2.0	198	300	[...]	0,66	5,5	7,265634	5,31	0,92375	1,669532	
b_3.0	b_3.0	187	298	[...]	0,627517	5	7,181237	4,815436	0,897651	1,620792	
b_4.0	b_4.0	204	300	[...]	0,68	5	7,360506	4,933333	0,921667	1,710333	
b_5.0	b_5.0	201	299	[...]	0,672241	5,5	7,290394	4,906355	0,900084	1,736533	
b_6.0	b_6.0	198	300	[...]	0,66	5	7,16118	5,206667	0,855	1,729765	
b_7.0	b_7.0	192	300	[...]	0,64	6	7,180347	4,993333	0,89	1,629102	
b_8.0	b_8.0	208	300	[...]	0,693333	5,5	7,356616	5,03	0,907083	1,765443	
b_9.0	b_9.0	196	300	[...]	0,653333	6	7,219138	5,043333	0,893333	1,65871	
b_10.0	b_10.0	192	300	[...]	0,64	6	7,202787	4,693333	0,89	1,63025	
b_11.0	b_11.0	204	300	[...]	0,68	5	7,393237	4,883333	0,928333	1,717927	
b_12.0	b_12.0	195	300	[...]	0,65	6	7,258062	4,98	0,91	1,629233	
b_13.0	b_13.0	194	296	[...]	0,655405	6,5	7,230104	5,006757	0,915963	1,639015	
b_14.0	b_14.0	195	300	[...]	0,65	6	7,208743	4,97	0,893333	1,658387	
b_15.0	b_15.0	195	300	[...]	0,65	5,5	7,248369	5,32	0,917083	1,659659	
b_16.0	b_16.0	189	300	[...]	0,63	6	7,179904	5,086667	0,903333	1,583111	
b_17.0	b_17.0	193	300	[...]	0,643333	5	7,21767	4,783333	0,901667	1,644953	
b_18.0	b_18.0	196	297	[...]	0,659933	6	7,232471	4,868687	0,895623	1,67367	
b_19.0	b_19.0	206	300	[...]	0,686667	5,333333	7,333956	4,786667	0,900741	1,740419	
